인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,노유자시설,경기,1527.5,1.0
예비인증,주거용 이외,업무시설,경기,5521.15,4.0
예비인증,주거용 이외,제1종 근린생활시설,강원,684.88,4.0
예비인증,주거용 이외,묘지 관련 시설,강원,912.64,4.0
예비인증,주거용 이외,문화 및 집회시설,충남,5436.28,4.0
예비인증,주거용 이외,교육연구시설,인천,1303.69,5.0
예비인증,주거용 이외,교육연구시설,부산,15197.61,3.0
예비인증,주거용 이외,국방·군사시설,강원,1384.56,5.0
예비인증,주거용 이외,교육연구시설,제주,5247.12,4.0
예비인증,주거용 이외,문화 및 집회시설,충남,3988.98,4.0
예비인증,주거용 이외,제1종 근린생활시설,대구,998.51,5.0
예비인증,주거용 이외,관광 휴게시설,경남,5461.15,3.0
예비인증,주거용 이외,교육연구시설,경북,790.67,4.0
