인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,교육연구시설,부산,7007.22,4.0
예비인증,주거용 이외,교육연구시설,경남,1192.43,4.0
예비인증,주거용 이외,노유자시설,울산,9417.688,4.0
예비인증,주거용 이외,제1종 근린생활시설,대구,4398.44,5.0
예비인증,주거용 이외,업무시설,서울,2408.74,4.0
예비인증,주거용 이외,업무시설,서울,2714.4,5.0
예비인증,주거용,공동주택,서울,2714.4,5.0
예비인증,주거용 이외,교육연구시설,전북,16828.07,4.0
예비인증,주거용 이외,운동시설,강원,2366.25,3.0
예비인증,주거용 이외,제2종 근린생활시설,서울,1475.31,4.0
본인증,주거용 이외,국방·군사시설,경기,850.87,3.0
본인증,주거용 이외,발전시설,세종,5492.54,4.0
본인증,주거용 이외,발전시설,세종,7119.41,4.0
예비인증,주거용 이외,업무시설,강원,1262.26,4.0
예비인증,주거용 이외,노유자시설,제주,811.23,5.0
예비인증,주거용 이외,교육연구시설,경기,1694.06,3.0
예비인증,주거용 이외,교육연구시설,대전,9331.25,4.0
예비인증,주거용,공동주택,서울,7523.96,5.0
예비인증,주거용 이외,제1종 근린생활시설,경기,606.62,5.0
예비인증,주거용 이외,교육연구시설,대전,6592.44,5.0
예비인증,주거용 이외,교육연구시설,인천,4265.88,4.0
예비인증,주거용,공동주택,인천,51660.08,5.0
예비인증,주거용 이외,문화 및 집회시설,경남,1311.5,4.0
예비인증,주거용 이외,업무시설,경기,12470.0255,5.0
예비인증,주거용 이외,교육연구시설,대전,2472.47,5.0
예비인증,주거용 이외,업무시설,경북,1418.47,4.0
예비인증,주거용 이외,업무시설,전남,1359.34,4.0
예비인증,주거용 이외,제1종 근린생활시설,충남,621.79,5.0
예비인증,주거용 이외,교육연구시설,서울,960.14,5.0
예비인증,주거용 이외,제1종 근린생활시설,서울,845.48,5.0
예비인증,주거용 이외,공장,전북,1499.09,5.0
예비인증,주거용 이외,문화 및 집회시설,경남,2000.3,4.0
예비인증,주거용 이외,교육연구시설,광주,2876.599,4.0
본인증,주거용 이외,제1종 근린생활시설,충남,627.98,4.0
예비인증,주거용 이외,교육연구시설,전북,3289.03,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,1361.56,3.0
예비인증,주거용 이외,업무시설,서울,3074.23,5.0
예비인증,주거용 이외,교육연구시설,강원,2491.27,4.0
예비인증,주거용 이외,교육연구시설,서울,13364.49,4.0
예비인증,주거용 이외,교육연구시설,충북,3125.71,4.0
예비인증,주거용,공동주택,경북,1126.14,5.0
예비인증,주거용 이외,제1종 근린생활시설,전북,2935.41,4.0
예비인증,주거용 이외,교육연구시설,전북,9295.54,4.0
예비인증,주거용 이외,교육연구시설,강원,2280.46,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,955.9,5.0
예비인증,주거용 이외,교육연구시설,경북,3738.8,4.0
예비인증,주거용 이외,업무시설,경북,15015.68,4.0
예비인증,주거용 이외,업무시설,경기,8160.699,4.0
본인증,주거용 이외,국방·군사시설,인천,654.16,3.0
예비인증,주거용 이외,제1종 근린생활시설,전북,596.67,4.0
예비인증,주거용 이외,교육연구시설,강원,8228.49,4.0
예비인증,주거용 이외,교육연구시설,강원,588.0,5.0
예비인증,주거용 이외,제2종 근린생활시설,경북,654.33,4.0
예비인증,주거용 이외,운동시설,전남,3385.53,3.0
예비인증,주거용 이외,교육연구시설,경기,12986.14,4.0
예비인증,주거용 이외,교육연구시설,광주,1076.67,4.0
예비인증,주거용 이외,문화 및 집회시설,서울,2551.77,4.0
예비인증,주거용 이외,교육연구시설,서울,15699.81,5.0
예비인증,주거용 이외,제1종 근린생활시설,전북,1706.76,4.0
예비인증,주거용 이외,업무시설,강원,1894.41,4.0
예비인증,주거용 이외,제1종 근린생활시설,강원,787.03,4.0
예비인증,주거용 이외,제1종 근린생활시설,충남,1094.73,4.0
예비인증,주거용 이외,문화 및 집회시설,충북,1473.96,4.0
예비인증,주거용 이외,교육연구시설,광주,8561.3,4.0
예비인증,주거용 이외,국방·군사시설,경기,3615.76,5.0
예비인증,주거용 이외,교육연구시설,부산,9133.87,4.0
