No,인증구분,인증기관,건물구분,건물용도,지역,주소,건물명,신청업체명,연면적,인증등급,인증일자,인증취소일자
1,예비인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,강원,"강원특별자치도 평창군 평창읍 중리 일반 172, 외 5필지",평창 작은영화관,평창군청,884.35,4,2025.11.20,-
2,예비인증,한국녹색기후기술원,주거용 이외,국방·군사시설,강원,"강원특별자치도 홍천군 남면 양덕원리 297, ",강원도 홍천군 군부대 모듈러 간부숙소,국방시설본부,1421.13,3,2025.11.20,-
3,예비인증,한국녹색기후기술원,주거용 이외,국방·군사시설,강원,"강원특별자치도 화천군 상서면 신풍리 132, ",강원도 화천군 군부대 모듈러 간부숙소,국방시설본부,4268.61,3,2025.11.20,-
4,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 강릉시 월호평동  311, 0",작전차량운영중대 행정시설 및 생활관,국방시설본부,1308.60,5,2025.11.20,-
5,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경북,"경상북도 김천시 개령면 덕촌리 일반 490, 일원",K-드론지원센터(본관동),김천시청,2860.23,3,2025.11.20,-
6,예비인증,한국건설생활환경시험연구원,주거용 이외,제1종 근린생활시설,충남,충남 부여군 초촌면 초촌로 15,초촌면 행정복지센터,충청남도 부여군,973.59,4,2025.11.20,-
7,예비인증,한국녹색기후기술원,주거용 이외,창고시설,울산,"울산광역시 울주군 삼남읍 상천리 일반 463-1, 외 1필지",먹거리통합지원센터,울주군청,2108.64,3,2025.11.20,-
8,예비인증,한국녹색기후기술원,주거용,공동주택,경기,경기 부천시 원미구 삼작로280번길 35,도당동 동아아파트 가로주택정비사업,도당동 동아아파트  가로주택정비사업조합,13291.28,5,2025.11.20,-
9,예비인증,한국녹색기후기술원,주거용 이외,제2종 근린생활시설,대구,대구 달서구 달구벌대로 1621,감삼동  대호빌딩 신축공사,주식회사 국영피앤디,5338.36,5,2025.11.19,-
10,예비인증,한국환경건축연구원,주거용 이외,노유자시설,서울,서울 서초구 도구로7길 9,서울시 서초구 사회복지시설,방배5구역주택재건축정비사업조합,975.91,5,2025.11.19,-
11,본인증,한국환경건축연구원,주거용 이외,노유자시설,경남,"경상남도 거제시 장승포동  일반 561-3, ",장승포동 다어울림 행복문화센터,거제시청,1405.64,5,2025.11.18,-
12,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,경남,"경상남도 창원시  마산회원구 합성동  일반 74-14, 일원",합성Link센터,창원시청,805.83,5,2025.11.18,-
13,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,전남,전남 무안군 무안읍 교촌길 38,무안북중학교,담양배움터 주식회사,4243.34,4,2025.11.18,-
14,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경기,"경기도 용인시  처인구 남동  산 126-29, (가칭)남동1초등학교",(가칭)남동1초등학교 신축공사 설계용역,용인교육지원청,9936.01,4,2025.11.18,-
15,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,경기,"경기도 오산시 청학동  369-2, ",오산소방서 청학119안전센터,경기도소방재난본부,992.98,4,2025.11.18,-
16,예비인증,한국부동산원,주거용,"임대주택(영구, 국민, 공공)",제주,"제주특별자치도 제주시 건입동  일반 1045-1, 번지",마음에온 건입2차 통합공공임대주택,제주특별자치도개발공사,3971.4482,5,2025.11.18,-
17,예비인증,한국부동산원,주거용,"임대주택(영구, 국민, 공공)",제주,"제주특별자치도 서귀포시 동홍동  일반 529-1, ",마음에온 동홍 1차 통합공공임대주택,제주특별자치도개발공사,2793.9301,5,2025.11.18,-
18,예비인증,한국건설생활환경시험연구원,주거용,공동주택,경기,"경기도 수원시  권선구 금곡동 , 일원",수원당수 B-3BL 공공주택  건설공사,한국토지주택공사,62781.70,5,2025.11.18,-
19,본인증,한국환경건축연구원,주거용 이외,교육연구시설,경남,경남 거제시 일운면 지세포로 74,일운초등학교 본관동,거제교육지원청,1871.52,4,2025.11.17,-
20,본인증,한국녹색기후기술원,주거용 이외,교육연구시설,부산,부산 기장군 일광읍 일역길 75-31,일광도서관,부산광역시 기장군,3031.60,5,2025.11.17,-
21,예비인증,한국녹색기후기술원,주거용 이외,수련시설,전북,"전북특별자치도 전주시  완산구 평화동1가  500-6, 일원",평화 1동 복합커뮤니티센터,전주시 완산구청,6125.14,3,2025.11.17,-
22,예비인증,한국녹색기후기술원,주거용 이외,노유자시설,전북,"전북특별자치도 익산시 월성동  일반 324-1, 일원",익산시 발달장애인 평생교육센터,익산시청,2587.15,4,2025.11.17,-
23,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 철원군 철원읍 산명리, 1561 외 2필지",5사단 27-3대대 12소초 생활관 신축,국방시설본부,779.67,5,2025.11.17,-
24,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,경남,"경상남도 통영시 용남면 장평리 일반 127, 외 5필지",견유어울림문화센터,한국농어촌공사 고성통영거제지사,863.93,5,2025.11.17,-
25,예비인증,한국교육녹색환경연구원,주거용 이외,공장,충북,"충청북도 영동군 용산면 한곡리 일반 558, ",고순도 일라이트 지원센터,영동군청,1495.41,5,2025.11.17,-
26,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,경기,"경기도 연천군 신서면 덕산리, 산3",5사단 36-2대대 6소초 생활관 신축,국방시설본부,778.45,5,2025.11.17,-
27,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,경기,"경기도 연천군 신서면 신현리, 산11 외 1필지",5사단 36-2대대 4소초 생활관 신축,국방시설본부,779.63,5,2025.11.17,-
28,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,제주,"제주특별자치도 제주시 오등동 , 328-1  외 2필지",특전사 제주신속대응부대 실내체육관,국방시설본부,1449.41,5,2025.11.14,-
29,예비인증,한국생산성본부인증원,주거용 이외,국방·군사시설,전남,"전라남도 순천시 별량면 운천리 일반 32-1, 외 278필지",2작전사 31사단 95여단 2대대 행정동,국방시설본부,1199.61,4,2025.11.14,-
30,예비인증,한국환경건축연구원,주거용 이외,업무시설,인천,인천 부평구 부흥로328번길 24,부평동 240-1 오피스텔,(주)태성산업개발,9451.9983,4,2025.11.14,-
31,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,서울,"서울특별시 성북구 장위동  일반 69-36, 일원",장위동 문화공원 도서관[가칭],장위10구역주택재개발정비사업조합,3535.82,4,2025.11.14,-
32,본인증,한국녹색기후기술원,주거용 이외,운동시설,충북,"충청북도 진천군 광혜원면 회죽리 일반 368-2, 외 25필지",광혜원 개방형 다목적체육관,진천군청,2890.44,3,2025.11.13,-
33,예비인증,한국녹색기후기술원,주거용 이외,문화 및 집회시설,경북,"경상북도 성주군 성주읍 성산리 일반 161-1, ",성주문화예술회관 소공연장 건립공사,성주군청,651.69,5,2025.11.13,-
34,예비인증,한국부동산원,주거용 이외,교육연구시설,경기,"경기도 평택시 도일동 , 브레인시티 일반산업단지 산업4-1블록",청정수소 시험평가 및 실증화 지원 기반구축 센터,재단법인한국청정수소진흥연구원,4330.02,5,2025.11.13,-
35,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,세종,"세종특별자치시 세종시 합강동  일반 313-2, 일원",(가칭)합강1초등학교,세종특별자치시교육청,19218.97,4,2025.11.13,-
36,본인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,강원,강원특별자치도 춘천시 후석로440번길 37,후평복합문화센터,춘천시청,1811.61,5,2025.11.12,-
37,본인증,한국건설생활환경시험연구원,주거용 이외,의료시설,강원,강원특별자치도 춘천시 동산면 영서로 824,국립춘천병원 정신재활치료시설,국립춘천병원,868.26,3,2025.11.12,-
38,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,인천,"인천광역시 부평구 산곡동  일반 87-236, 외 일원",산곡초등학교 교사동/강당 증축공사,산곡재개발정비사업조합,6834.74,4,2025.11.12,-
39,예비인증,한국환경건축연구원,주거용 이외,운수시설,부산,"부산광역시 남구 감만동  일반 626, ",부산항 신감만 건축시설물 건립사업(주12동),부산항만공사,759.23,3,2025.11.12,-
40,예비인증,한국녹색기후기술원,주거용,공동주택,인천,"인천광역시 계양구 귤현동  일반, 동양동, 박촌동, 병방동, 상야동 일원  인천계양지구 내 A9BL",인천계양지구 A9BL 공공주택 건설공사,한국토지주택공사,66843.23,5,2025.11.12,-
41,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 화천군 화천읍 상리 일반 139-2, 일원",동화천 간부숙소,푸른동화천 주식회사,27308.9602,5,2025.11.11,-
42,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,충북,"충청북도 청주시  흥덕구 오송읍 봉산리 일반 771, ",(가칭)오송2고등학교,충청북도교육청,14054.34,4,2025.11.11,-
43,예비인증,한국녹색기후기술원,주거용 이외,업무시설,경기,"경기도 평택시 용이동  일반 491-6, ",용이동 LH 주택매입 신축계획안,주식회사 정석도시개발,3423.61,5,2025.11.11,-
44,예비인증,한국부동산원,주거용 이외,노유자시설,경기,"경기도 가평군 조종면 현리 419-11, 외  4필지",조종면권역 어린이 놀이체험시설 조성사업,가평군청,997.04,5,2025.11.11,-
45,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,인천,"인천광역시 연수구 송도동  일반 162-1, 일원(연세대 국제캠퍼스 내)",K-바이오 랩허브 건립사업,인천광역시경제자유구역청,20310.85,4,2025.11.11,-
46,예비인증,한국녹색기후기술원,주거용 이외,관광 휴게시설,경북,경북 문경시 문경읍 하푸실길 33-5,문경새재 케이블카,문경시청,3669.42,3,2025.11.10,-
47,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,충남,"충청남도 보령시 오천면 원산도리 일반 965-8, ",원산 오션뷰 스마트복합쉼터 조성사업,보령시청,680.50,5,2025.11.10,-
48,예비인증,한국생산성본부인증원,주거용 이외,국방·군사시설,경기,"경기도 이천시 장호원읍 이황리 일반 414-19, 외 2필지",7군단 다목적 체육시설,국방시설본부,2950.76,5,2025.11.10,-
49,예비인증,한국교육녹색환경연구원,주거용 이외,국방·군사시설,경기,"경기도 파주시 아동동  일반 147-2,  ",9사단 28여단본부 행정동 신축,국방시설본부 경기북부시설단,720.00,4,2025.11.10,-
50,예비인증,한국생산성본부인증원,주거용 이외,업무시설,대구,"대구광역시 북구 국우동  일반 1240, 번지",국우동 행정복지센터 건립공사,대구광역시 북구청,1289.68,4,2025.11.10,-
51,예비인증,한국생산성본부인증원,주거용 이외,업무시설,서울,"서울특별시 용산구 한강로2가  일반 93-1, 외 2필지",한강로2가 93-1 업무시설,삼주마리타임,3868.78,5,2025.11.10,-
52,예비인증,한국부동산원,주거용,공동주택,서울,"서울특별시 구로구 개봉동  일반 403-84, ,347-14",구로구 개봉동 LH매입임대주택 신축공사,코리아신탁(주),3901.25,5,2025.11.10,-
53,본인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,경북,"경상북도 경주시 감포읍 대본리 일반 671, ",문무대왕 해양역사관,경주시청,1793.21,+,2025.11.07,-
54,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,전남,"전라남도 영암군 삼호읍 용앙리 일반 249-10, , 250-4",삼호 건강증진형 보건지소,영암군청,654.60,5,2025.11.07,-
55,예비인증,한국녹색기후기술원,주거용 이외,창고시설,전남,"전라남도 진도군 진도읍 포산리 일반 1746-27, ",진도군 농수특산물 유통물류 허브센터,진도군청,1492.705,3,2025.11.07,-
56,예비인증,한국녹색기후기술원,주거용 이외,업무시설,서울,"서울특별시 중랑구 신내동  195-3, 일원",중랑창업지원센터 복합화사업,서울주택도시공사,16387.40,5,2025.11.07,-
57,예비인증,한국녹색기후기술원,주거용,공동주택,서울,"서울특별시 중랑구 신내동  일반 195-3, 일원",중랑창업지원센터 복합화사업 창업지원주택,서울주택도시공사,16387.40,5,2025.11.07,-
58,본인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,충북,"충청북도 단양군 단양읍 천동리 산 9-1, 천동 탐방안내소",천동 탐방안내소, 소백산국립공원북부사무소,425.82,+,2025.11.06,-
59,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,전북,전북특별자치도 군산시 옥도면 어청도길 113-14,2함대282감시대 본관 증축공사,국방시설본부,871.013,3,2025.11.06,-
60,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,전북,"전북특별자치도 전주시  덕진구 팔복동1가  일반 291-3, ",팔복동 빈집밀집구역 돌봄방앗간 ,전주시청,943.80,5,2025.11.06,-
61,예비인증,한국교육녹색환경연구원,주거용 이외,제1종 근린생활시설,경북,"경상북도 영천시 화남면 삼창리 일반 853, 일원",화남면 행복활력센터,영천시청,662.54,5,2025.11.06,-
62,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,충남,"충청남도 당진시 신평면 운정리 일반 239-3, 외 7필지",(가칭) 충청남도 교육청 교직원 수련원 신축공사 설계용역,충청남도교육청,5785.16,4,2025.11.06,-
63,예비인증,한국건설생활환경시험연구원,주거용 이외,운동시설,충북,"충청북도 제천시 강제동  일반 895, ",공공형 실내스포츠 놀이시설,제천시청,1608.86,4,2025.11.06,-
64,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,경기,"경기도 연천군 신서면 마전리 일반, 1016 외 12필지",5사단 36-2대대 GOP소초 생활관 신축,국방시설본부,3374.02,4,2025.11.06,-
65,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,인천,인천 미추홀구 장천로 99,숭의초 공간재구조화 증개축공사,남부교육지원청,2155.31,4,2025.11.06,-
66,예비인증,한국녹색기후기술원,주거용,"임대주택(영구, 국민, 공공)",강원,"강원특별자치도 삼척시 도계읍 도계리 일반 206-2,  외 2필지",삼척 도계 공공임대주택,강원개발공사,13592.5154,4,2025.11.06,-
67,예비인증,한국건설생활환경시험연구원,주거용 이외,운동시설,경남,"경상남도 김해시 진영읍 본산리 121-109, 일원",진영읍 다목적체육관,김해시청,893.44,5,2025.11.05,-
68,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,경기,"경기도 남양주시 이패동  일반 259-1, ",56사단 221여단 취사식당 신축공사,국방시설본부,1033.29,5,2025.11.05,-
69,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,경기,"경기도 과천시 갈현동  일반 145, ",과천갈현초등학교(증축 교사동),대방건설 주식회사,4436.726,4,2025.11.05,-
70,예비인증,한국교육녹색환경연구원,주거용 이외,제2종 근린생활시설,대전,"대전광역시 동구 천동  511-184, ",천동3구역 4블럭 4롯트 OOO 빌딩 신축공사,주식회사 효천홀딩스,5894.5948,5,2025.11.05,-
71,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,인천,인천 남동구 용천로205번길 42,신명여자고등학교 급식소 및 식당,신명여자고등학교,842.70,5,2025.11.05,-
72,예비인증,한국환경건축연구원,주거용,"임대주택(영구, 국민, 공공)",강원,"강원특별자치도 강릉시 입암동  일반 498, ",강릉시 통합공공임대주택 건립사업,강릉시청,6815.87,5,2025.11.05,-
73,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,경남,"경상남도 창녕군 창녕읍 말흘리 일반 700-3, 번지 외 33필지",창녕경찰서 이전 신축공사,경남경찰청,7319.80,4,2025.11.04,-
74,예비인증,한국교육녹색환경연구원,주거용 이외,교정시설,충북,"충청북도 증평군 증평읍 덕상리, ",13특임여단 특수작전용경전술차량 보관시설,국방시설본부 충청시설단,632.78,2,2025.11.04,-
75,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,광주,광주 광산구 목련로 98-1,월곡2동 상생커뮤니티센터,광산구청,1405.34,5,2025.11.04,-
76,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,경남,"경상남도 하동군 고전면 범아리 일반 226, ",고전면 행정문화복합센터 건립사업,하동군청,890.66,5,2025.11.03,-
77,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,충북,충북 충주시 염밭로 101,그린스마트스쿨 충주성남초 임대형 민자사업(BTL),충북미래배움터(주),6389.77,4,2025.11.03,-
78,예비인증,한국생산성본부인증원,주거용 이외,운동시설,강원,"강원특별자치도 춘천시 신북읍 율문리 일반 935-67, 신북반다비 체육센터",신북반다비 체육센터,춘천시청,2633.42,4,2025.10.31,-
79,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경북,경북 김천시 구성면 양각길 139-12,김천시 체류형 귀농귀촌학교 교육관,김천시농업기술센터,657.80,4,2025.10.31,-
80,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,전남,"전라남도 여수시 국동  일반, 231번지 외 11필지",여수국동 FLEX센터 및 신활력이음센터,여수시,2446.97,5,2025.10.31,-
81,예비인증,한국생산성본부인증원,주거용 이외,공장,전남,전남 나주시 동수농공단지길 62-10,나주 푸드테크 연구지원센터,나주시청,1631.17,5,2025.10.31,-
82,예비인증,한국교육녹색환경연구원,주거용 이외,노유자시설,울산,"울산광역시 동구 방어동  일반 183-1, 외 2필지",청소년 복지시설 건립공사,울산광역시 동구청,766.36,4,2025.10.31,-
83,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,전북,"전북특별자치도 진안군 백운면 백암리 658-11, 번지 외3필지",꿈두레센터,한국농어촌공사 무진장지사,596.34,5,2025.10.30,-
84,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,전남,"전라남도 무안군 일로읍 오룡리 일반 313-2, ",오룡 복합문화센터 ,무안군청,6485.09,4,2025.10.30,-
85,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,충남,"충청남도 천안시  서북구 직산읍 신갈리 일반 251, 번지",충남청 천안아산 수사분소 신축공사,충청남도경찰청,953.94,4,2025.10.30,-
86,예비인증,한국교육녹색환경연구원,주거용 이외,운동시설,충북,충북 청주시 흥덕구 송화로130번길 13,청주 테크노폴리스 내 생활SOC 건립사업,(주)청주테크노폴리스,5765.88,4,2025.10.30,-
87,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,충북,충북 청주시 청원구 오창읍 양청3길 33,석유대체연료센터,한국석유관리원,1212.58,4,2025.10.30,-
88,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,대전,"대전광역시 유성구 학하동  일반 161-8, 일원",(가칭)대전학하2초등학교,대전광역시교육청,13069.05,4,2025.10.30,-
89,예비인증,한국부동산원,주거용 이외,노유자시설,강원,"강원특별자치도 인제군 인제읍 남북리 일반 386-70, 외 1필지",인제 키지트 조성사업,인제군청,826.51,5,2025.10.29,-
90,예비인증,한국부동산원,주거용 이외,업무시설,경남,경남 창원시 성산구 원이대로 627,농협은행 경남본부,(주)농협은행,17544.59,5,2025.10.29,-
91,예비인증,한국환경건축연구원,주거용 이외,노유자시설,경남,"경상남도 진주시 이반성면 가산리 일반 566-5, , 566-32",진주시 이반성면 종합복지회관,진주시청,597.959,4,2025.10.29,-
92,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,충남,"충청남도 부여군 외산면 만수리 일반 15-2, 외 18필지",외산면 기초생활거점조성사업,충청남도 부여군,584.46,4,2025.10.29,-
93,예비인증,한국건설생활환경시험연구원,주거용 이외,관광 휴게시설,광주,"광주광역시 서구 금호동  일반 12-1, 외 350필지",풍암호수 수변파빌리온,빛고을중앙공원개발(주),1305.8708,4,2025.10.29,-
94,예비인증,한국건설생활환경시험연구원,주거용 이외,관광 휴게시설,광주,"광주광역시 서구 금호동  일반 1, 외 257필지",어울림숲 도시정원센터,빛고을중앙공원개발(주),1566.3531,4,2025.10.29,-
95,예비인증,한국환경건축연구원,주거용 이외,문화 및 집회시설,서울,"서울특별시 은평구 진관동  일반 161-10, ",증권박물관 이전 건립공사,재단법인케이에스디나눔재단,6499.08,5,2025.10.29,-
96,예비인증,한국부동산원,주거용 이외,교육연구시설,서울,서울 강서구 초록마을로 28,화곡초 그린스마트 미래학교 교사 개축 및 복합화(지하공영주차장) 건립공사,강서양천교육지원청,13712.1,4,2025.10.29,-
97,예비인증,한국건설생활환경시험연구원,주거용 이외,공장,충남,"충청남도 보령시 청라면 내현리, 925번지(청라농공단지 A1블럭)",보령 지식산업센터,보령시청,5162.63,4,2025.10.28,-
98,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,서울,"서울특별시 강남구 청담동  일반 87-3, ",청담동 87-3,에스앤씨(S&C)타워 청담,4630.01,5,2025.10.28,-
99,예비인증,한국환경건축연구원,주거용,공동주택,제주,"제주특별자치도 제주시 봉개동  일반, 2569번지 외 2필지",제주시 봉개동 공공주택 건립사업,제주특별자치도개발공사,4476.2796,5,2025.10.28,-
100,예비인증,한국부동산원,주거용,공동주택,전남,"전라남도 진도군 진도읍 남동리 일반 131-26, ",전남형 만원주택(진도) 공동주택 신축공사,전남개발공사,6072.5052,5,2025.10.28,-
101,예비인증,한국생산성본부인증원,주거용,공동주택,충남,"충청남도 홍성군 홍북읍 신경리 929, 번지 일원",내포신도시 RH-14BL 민간참여 공공주택 건설사업,충청남도개발공사,"127,340.1076",5,2025.10.28,-
102,본인증,한국생산성본부인증원,주거용 이외,운동시설,충남,"충청남도 태안군 남면 달산리 일반 995-39, , 양잠리 산330 일원",태안해양치유센터,해양치유센터,8478.71,4,2025.10.27,-
103,예비인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,전북,"전북특별자치도 김제시 교동  99-1, 외 13필지",김제 문화예술 커뮤니티센터,김제시청,2987.55,3,2025.10.27,-
104,예비인증,한국생산성본부인증원,주거용 이외,숙박시설,경남,"경상남도 밀양시 부북면 가산리 일반, 82번지",밀양아리나 청년연극인 쉼터,밀양시청,1186.85,3,2025.10.27,-
105,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,충북,충북 청주시 서원구 충대로 1,충북대학교 창업지원센터,충북대학교,1454.52,3,2025.10.27,-
106,예비인증,한국생산성본부인증원,주거용 이외,국방·군사시설,인천,"인천광역시 부평구 구산동  일반 161-11, 외 42필지",17사단 직할대 병영식당 사단의무대 통합실내체육관,국방시설본부,8957.75,4,2025.10.27,-
107,예비인증,한국생산성본부인증원,주거용 이외,국방·군사시설,인천,"인천광역시 부평구 구산동  일반 161-11, 외 42필지","17사단 직할대 병영생활관 A,B",국방시설본부,26279.41,4,2025.10.27,-
108,예비인증,한국교육녹색환경연구원,주거용 이외,문화 및 집회시설,전북,"전북특별자치도 임실군 임실읍 이도리 732-1, , 938-19",임실 정주활력센터,임실군청,7170.82,4,2025.10.24,-
109,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,강원,강원특별자치도 태백시 황지로 78,한국광해광업공단 통합사옥,한국광해광업공단,776.44,2,2025.10.24,-
110,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경남,"경상남도 밀양시 내이동  일반 1025-4, 외 4필지","한국폴리텍대학 밀양캠퍼스(본관, 기숙사, 경비동)",한국폴리텍대학 밀양캠퍼스 설립추진단,5913.21,3,2025.10.24,-
111,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,경북,"경상북도 영천시 망정동  일반 411, 외 412,414,415, 416-6, 535, 532-1, 410-26, 410-41",영천도서관,경상북도영천교육지원청,2789.35,4,2025.10.24,-
112,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,전남,전남 담양군 담양읍 추성로 1323,담양동초등학교(본관동 및 유치원동),전라남도교육청,5848.92,4,2025.10.24,-
113,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,충남,"충청남도 부여군 내산면 운치리 일반 540-2, ",내산면 기초생활거점조성사업,충청남도 부여군,656.69,4,2025.10.24,-
114,예비인증,한국교육녹색환경연구원,주거용,공동주택,서울,"서울특별시 중랑구 중화동  일반 288-27, ",중랑구 중화동 288-27번지 도시형생활주택(청년주택)신축공사,엠씨씨건설(주),5802.52,5,2025.10.24,-
115,예비인증,한국녹색기후기술원,주거용 이외,국방·군사시설,강원,"강원특별자치도 동해시 망상동 , 1-9외 6필지","23-D-00부대 설계용역 (B565) 23경비여단 2대대 7,8소초 생활관",국방시설본부,3036.12,4,2025.10.23,-
116,예비인증,한국부동산원,주거용 이외,운동시설,경남,"경상남도 통영시 평림동  471-3, 번지외 57필지",다목적 체육센터,통영시청,997.50,4,2025.10.23,-
117,예비인증,한국환경건축연구원,주거용 이외,문화 및 집회시설,경남,"경상남도 진주시 망경동  일반 17-14, ",남강변 다목적 문화센터 건립 기본 및 실시설계,진주시청,13957.46,4,2025.10.23,-
118,예비인증,한국녹색기후기술원,주거용 이외,업무시설,경남,"경상남도 의령군 의령읍 동동리 일반, 1701외 2필지 (1701, 1702, 1703)",한국전력공사 의령지사 사옥,한국전력공사,811.05,5,2025.10.23,-
119,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,경남,경남 통영시 도산면 도산일주로 34,도산중 미래학교 공간재구조화 본관 개축공사 설계용역,경상남도통영교육지원청,2253.15,3,2025.10.23,-
120,예비인증,한국건설생활환경시험연구원,주거용 이외,국방·군사시설,경기,"경기도 연천군 중면 중사리 301, ",(B538)28사단 81여단 1대대 10소초 병영생활관,국방시설본부,979.64,5,2025.10.23,-
121,예비인증,한국환경건축연구원,주거용 이외,문화 및 집회시설,부산,"부산광역시 서구 서대신동3가  산  2-3, 번지, 동대신동3가 산1-2, 산2-2",구덕민속예술관,부산광역시건설본부,1756.49,4,2025.10.23,-
122,예비인증,한국생산성본부인증원,주거용 이외,문화 및 집회시설,전남,전남 목포시 해안로 185,향토음식진흥센터,한식진흥원,1553.26,4,2025.10.22,-
123,예비인증,한국환경건축연구원,주거용 이외,운동시설,경기,"경기도 광명시 철산동  일반 379, ",광명시민건강 체육센터 건립공사,광명시청,7616.40,4,2025.10.22,-
124,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,광주,광주 서구 상무대로 1026,광주소방안전본부 및 서부소방서 합동청사 ,광주광역시종합건설본부,12348.18,4,2025.10.22,-
125,예비인증,한국생산성본부인증원,주거용 이외,노유자시설,전북,"전북특별자치도 군산시 나운동  일반 1191-29, 번지외 7필지",나운3동 생활SOC 복합시설 ,군산시청 ,2373.65,4,2025.10.21,-
126,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,강원,강원특별자치도 강릉시 노암등길 71,강릉남부권수영장,강릉시청,2014.07,4,2025.10.21,-
127,예비인증,한국부동산원,주거용,공동주택,경북,"경상북도 경산시 대평동 , 임당동 일원",경산대임지구 B-1BL 공공주택 건설사업,한국토지주택공사,46761.39,5,2025.10.21,-
128,예비인증,한국부동산원,주거용 이외,업무시설,경기,경기 광명시 일직로12번길 14,광명역세권 일반상업 1-1BL 오피스텔 신축공사,엠디엠플러스,50292.9918,5,2025.10.20,-
129,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,광주,광주 남구 대남대로390번길 5,광주광역시 남구 월산동 OO빌딩,(유)유안,7183.71,4,2025.10.20,-
130,예비인증,한국부동산원,주거용 이외,업무시설,전북,"전북특별자치도 전주시  덕진구 만성동  일반 1377-2, 외 1필지",한국전력공사 남전주지사 (본관),한국전력공사,3406.75,4,2025.10.17,-
131,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,충남,충남 천안시 서북구 천안대로 1223-24,국립공주대학교 천안캠퍼스 산학연구동 개축공사,공주대학교,5623.25,4,2025.10.17,-
132,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,충남,"충청남도 보령시 웅천읍 구룡리 일반, 951번지",웅천일반산업단지 근로복지센터 ,보령시청,1659.14,5,2025.10.17,-
133,예비인증,한국건설생활환경시험연구원,주거용 이외,판매시설,충남,충남 서천군 서천읍 충절로 42,서천특화시장,충청남도개발공사,9872.19,4,2025.10.17,-
134,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,충남,"충청남도 천안시  서북구 입장면 하장리 일반 62-13, 외 4필지",입장도서관,천안시청,1119.95,4,2025.10.17,-
