No,인증구분,인증기관,건물구분,건물용도,지역,주소,건물명,신청업체명,연면적,인증등급,인증일자,인증취소일자
670,예비인증,한국부동산원,주거용,공동주택,경기,"경기도 수원시  권선구 금곡동 , 당수1지구 C3블록",수원당수1지구 C3블록 공동주택 신축공사,수원당수피에프브이주식회사,86024.6152,3,2025.05.16,-
671,예비인증,한국부동산원,주거용,공동주택,경기,"경기도 수원시  권선구 당수동 , 당수1지구 D3블록 외 0필지",수원당수1지구 D3블록 공동주택 신축공사,수원당수피에프브이주식회사,139086.3405,3,2025.05.16,-
672,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,경북,"경상북도 청도군 화양읍 송북리 143 , 외 4필지",청도군 농업인 교육정보센터(회관),청도군,1750.0020,4,2025.05.15,-
673,예비인증,한국부동산원,주거용 이외,운동시설,충남,"충청남도 서천군 문산면 신농리 일반 111 -8   , ",서천군 동부권역 농업인 다목적체육관 신축공사,서천군청,871.24,5,2025.05.15,-
674,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,충남,"충청남도 아산시 탕정면 매곡리 863 , 일원",(가칭)탕정4중학교 교사 신축공사,충청남도아산교육지원청 ,13924.19,4,2025.05.15,-
675,예비인증,한국교육녹색환경연구원,주거용 이외,제1종 근린생활시설,,광주 북구 설죽로 523,일곡 생활문화센터 및 다함께돌봄센터,광주광역시 북구청,658.62,5,2025.05.15,-
676,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,강원,강원특별자치도 삼척시 중앙로 346,강원대학교 삼척캠퍼스 생활관 임대형 민자사업(BTL),백령생활터,12257.75,5,2025.05.14,-
677,예비인증,한국생산성본부인증원,주거용 이외,노유자시설,충남,"충청남도 아산시 둔포면 둔포리 111 -6   , 외 5필지",북부권 키즈앤맘센터 건립사업,아산시청,2310.68,4,2025.05.14,2025.07.29
678,예비인증,한국생산성본부인증원,주거용 이외,업무시설,서울,"서울특별시 구로구 궁동  14  -1   , 외",수도권광역급행철도 B노선 민간투자사업 실시설계 본사(SPC) 및 유지관리사무소,수도권광역급행철도 B노선 주식회사,6735.19,4,2025.05.14,-
679,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,서울,"서울특별시 송파구 거여동  산 30  , .",거여 119 안전센터,도시기반시설본부 건축부,1477.53,5,2025.05.14,-
680,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 철원군 갈말읍 군탄리 일반 276, ",24-A-00부대 설계용역(A110)교육생 간부숙소 신축,국방시설본부 경기북부시설단,1494.465,5,2025.05.13,-
681,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,경남,경남 진주시 동진로 33,경남 진주 그린스타트업 타운,경상국립대학교,7971.62,4,2025.05.13,-
682,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,충남,"충청남도 계룡시 신도안면 부남리, 140번지 외 2필지",육군사이버작전센터,국방시설본부,3846.94,4,2025.05.13,-
683,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,전북,전북특별자치도 정읍시 충정로 252,정읍제일고등학교 본관동 그린스마트스쿨,전북특별자치도정읍교육지원청,2910.57,+,2025.05.12,-
684,예비인증,한국건설생활환경시험연구원,주거용 이외,국방·군사시설,전북,"전북특별자치도 임실군 , 00면 일원",00지역 병영시설 개선공사(000-1-U사업) 설계용역(B649),국방시설본부,3362.61,5,2025.05.12,-
685,예비인증,한국교육녹색환경연구원,주거용 이외,국방·군사시설,전북,"전북특별자치도 부안군 변산면 도청리 627 -1   , /621-9/621-41번지",00사단 000여단 00해감대 간부숙소 신축공사,국방시설본부,938.45,4,2025.05.12,-
686,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,강원,강원특별자치도 춘천시 중앙로68번길 37,춘천고등학교 다목적실 신증축,강원특별자치도춘천교육지원청,1196.19,4,2025.05.12,-
687,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,경남,경남 김해시 주촌면 서부로1701번안길 142-106,주촌면 원지지구 마을공동시설 조성사업,김해시청,645.68,5,2025.05.12,-
688,예비인증,한국생산성본부인증원,주거용 이외,국방·군사시설,강원,"강원특별자치도 화천군 상서면 다목리 일반 620 , 외1필지",15사단 39여단본부 실내체육관,국방시설본부,1248.68,5,2025.05.09,-
689,예비인증,한국건설생활환경시험연구원,주거용 이외,교육연구시설,강원,강원특별자치도 원주시 호저면 원문로 599,만종초 강원형 학교시설 증개축공사,강원특별자치도원주교육지원청,2456.99,3,2025.05.09,-
690,예비인증,한국부동산원,주거용 이외,국방·군사시설,경기,"경기도 안양시  만안구 박달동  170 -2   , ",24-A-00부대(A013) 수방사 1113단 공병단 본청,국방시설본부,844.80,5,2025.05.09,-
691,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,전북,"전북특별자치도 정읍시 북면 태곡리 610 -4   , , 611-4",농촌신활력플러스 혁신공유센터,정읍시청,870.21,4,2025.05.08,-
692,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,경남,"경상남도 김해시 신문동  377 , 일원",신문1지구초등학교,경상남도교육청,15977.30,4,2025.05.08,-
693,예비인증,한국녹색기후기술원,주거용 이외,업무시설,경남,"경상남도 사천시 사남면 방지리 677 , ",사천혁신지원센터,사천시청,1733.85,3,2025.05.08,-
694,예비인증,한국환경건축연구원,주거용 이외,노유자시설,전남,"전라남도 순천시 서면 선평리 일반 718, 외 14필지",순천시 북부 복지관,순천시청,2497.52,4,2025.05.08,-
695,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,전남,"전라남도 영암군 영암읍 서남리 67-3   , 외8필지",영암군 어울림복합센터 건립공사,영암군청,1071.29,4,2025.05.08,-
696,예비인증,한국환경건축연구원,주거용 이외,업무시설,전남,"전라남도 담양군 금성면 석현리, 70-2번지 외 5필지",금성면사무소,담양군청,1675.16,4,2025.05.08,-
697,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,충남,"충청남도 논산시 부적면 덕평리 40  -8   , 외 4필지",논산시 과학영농 종합분석센터,논산시청,999.87,4,2025.05.08,-
698,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,충북,충북 제천시 단양로10길 160,제천산업고 그린스마트스쿨 조성공사,충청북도제천교육지원청,9967.36,4,2025.05.08,-
699,예비인증,한국환경건축연구원,주거용 이외,운수시설,대전,"대전광역시 동구 삼정동  36  , ",대전도시철도 1호선 식장산역 ,대전광역시청,906.19,5,2025.05.08,-
700,예비인증,한국생산성본부인증원,주거용 이외,운동시설,충북,"충청북도 괴산군 괴산읍 서부리 658 , 외 2필지",괴산 씨름전용훈련장,괴산군청,1027.87,1,2025.05.07,-
701,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,인천,"인천광역시 미추홀구 학익동  587-438, 일원",(가칭)용현학익유치원,인천광역시교육청,5668.93,4,2025.05.07,-
702,예비인증,한국건설생활환경시험연구원,주거용 이외,국방·군사시설,충남,"충청남도 서산시 고북면 신정리 742-2, 외 7필지",20비 항공SW지원소 시뮬레이터 연구개발동,국방시설본부,2015.94,5,2025.05.02,-
703,예비인증,한국녹색기후기술원,주거용,공동주택,대전,"대전광역시 대덕구 송촌동  일반 560 -1   , ,560-7 번지","송촌동 560-1,7번지 도시형 생활주택(아파트형 주택) 신축공사",도영개발주식회사,4582.1372,5,2025.05.01,-
704,예비인증,한국녹색기후기술원,주거용,공동주택,대전,"대전광역시 서구 갈마동  일반 388 -1   , ,388-26번지","갈마동 388-1,26번지 도시형 생활주택(아파트형 주택) 신축공사",주식회사 성무개발,4104.8749,5,2025.05.01,-
705,본인증,한국녹색기후기술원,주거용 이외,노유자시설,경기,경기 광명시 금하로527번길 33,시립소하어린이집,광명시청,499.47,+,2025.04.30,-
706,예비인증,한국건설생활환경시험연구원,주거용 이외,교육연구시설,전북,전북특별자치도 전주시 덕진구 모래내6길 14,전주여고 다목적복합건물,전주교육지원청,2727.73,5,2025.04.30,-
707,예비인증,한국환경건축연구원,주거용 이외,제2종 근린생활시설,경남,"경상남도 거창군 남상면 월평리 일반 2271, 외 17필지",거창 유기농복합단지 조성사업,거창군청,3928.31,4,2025.04.30,-
708,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,경남,경남 산청군 단성면 사직단로 456-4,단성문화복합센터(증축),한국농어촌공사진주산청지사,1490.71,5,2025.04.30,-
709,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경북,"경상북도 예천군 호명읍 산합리 일반 384 -2   , 일원",(가칭)호명중학교,경상북도예천교육지원청,16426.42,4,2025.04.30,-
710,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,경기,"경기도 용인시  처인구 포곡읍 유운리 일반 231 -1   , ",용인종합환경교육센터,용인시청,2702.22,+,2025.04.30,-
711,예비인증,한국부동산원,주거용,"임대주택(영구, 국민, 공공)",전북,"전북특별자치도 전주시  덕진구 송천동2가  1504, ",전주 에코-17BL 공공주택,전북개발공사,112930.2462,5,2025.04.30,-
712,예비인증,한국생산성본부인증원,주거용 이외,운동시설,,"강원특별자치도 철원군 갈말읍 군탄리 산 1368-5   , 번지 일원",철원군 다목적 실내체육관,철원군청,2947.45,5,2025.04.29,-
713,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,세종,"세종특별자치시 세종시 금남면 성강리, 382번지 외 63필지",남세종 동원훈련장 취사식당+안보교육관,국방시설본부,1669.58,5,2025.04.29,-
714,예비인증,한국부동산원,주거용 이외,교육연구시설,부산,부산 사하구 낙동대로302번길 35,사하중학교 그린스마트스쿨 교사개축공사,부산광역시서부교육지원청,8135.61,4,2025.04.29,-
715,예비인증,한국생산성본부인증원,주거용 이외,노유자시설,서울,서울 양천구 오목로 320-1,청목어르신복지센터,양천구청,711.97,5,2025.04.29,-
716,예비인증,한국교육녹색환경연구원,주거용 이외,제1종 근린생활시설,,"서울특별시 중랑구 면목동  496-4, ,496-19",면목동 496-4외1필지 금강빌딩 신축공사,윤용오,4821.71,4,2025.04.29,-
717,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,강원,강원특별자치도 원주시 지정면 송정로 2-1,원주 유아놀이체험장,강원특별자치도교육청,2946.92,4,2025.04.28,-
718,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,강원,"강원특별자치도 횡성군 횡성읍 묵계리 일반, 133 일원",관제센터,한국도로교통공단,728.36,5,2025.04.28,-
719,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 철원군 갈말읍 상사리 일반 14  -2   , 외 20필지","(B580) 22여단 포병대  행정시설,병영식당",국방시설본부,2800.77,5,2025.04.28,-
720,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,강원,"강원특별자치도 정선군 사북읍 사북리 356 -307 , ",사북행복중계소,정선군청,998.89,4,2025.04.25,-
721,예비인증,한국생산성본부인증원,주거용 이외,업무시설,경북,"경상북도 울진군 울진읍 고성리 산 75  -1   , ",경상북도119산불특수대응단 신축사업,경상북도개발공사,6298.5863,3,2025.04.25,-
722,예비인증,한국교육녹색환경연구원,주거용 이외,노유자시설,경기,"경기도 양주시 덕정동  일반 91  -26  , 외2필지",양주덕정지역주택조합(사회복지시설),양주덕정지역주택조합,1527.50,1,2025.04.25,-
723,예비인증,한국부동산원,주거용 이외,업무시설,경기,"경기도 파주시 동패동  1692, ",운정5동 행정복지센터,파주시청(공공건축과),5521.15,4,2025.04.25,-
724,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,강원,"강원특별자치도 고성군 거진읍 거진리 22-1, ",거진 어민마을회관 및 공동작업 대기소,고성군청,684.88,4,2025.04.24,-
725,예비인증,한국교육녹색환경연구원,주거용 이외,묘지 관련 시설,강원,강원특별자치도 원주시 흥업면 복술길 33,원주시 추모공원 봉안당 증축사업,원주시청,912.64,4,2025.04.24,-
726,예비인증,한국녹색기후기술원,주거용 이외,문화 및 집회시설,충남,"충청남도 서천군 서천읍 군사리 일반 1183, ",서천문화예술회관,서천군청,5436.28,4,2025.04.24,-
727,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,인천,인천 서구 청마로 144,인천 당하초등학교 급식실,인천광역시서부교육지원청,1303.69,5,2025.04.24,-
728,예비인증,한국부동산원,주거용 이외,교육연구시설,부산,"부산광역시 수영구 망미동  210 -73  , ",부산배화학교 그린스마트스쿨 개축공사,부산해운대교육지원청,15197.61,3,2025.04.24,-
729,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,강원,"강원특별자치도 철원군 김화읍 학사리 646 , 외 16필지",(B580) 18여단 군수지원대대 행정시설,국방시설본부,1384.56,5,2025.04.23,-
730,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,제주,"제주특별자치도 제주시 이도이동 , 690번지 외 4필지",제주 영지학교 교실 증축공사,제주특별자치도교육청,5247.12,4,2025.04.23,-
731,예비인증,한국환경건축연구원,주거용 이외,문화 및 집회시설,충남,충남 보령시 오천면 원산도3길 116-64,충청남도 섬 문화예술 플랫폼 건립사업,충청남도건설본부,3988.98,4,2025.04.23,-
732,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,대구,"대구광역시 군위군 우보면 이화리 1193-2   , 일원",우보면 행정복지센터,군위군청,998.51,5,2025.04.23,-
733,예비인증,한국생산성본부인증원,주거용 이외,관광 휴게시설,경남,"경상남도 창녕군 대합면 대동리, 7번지 일원",중부내륙고속도로 44k 대합복합휴게시설 개발 민자유치,디에이치플러스주식회사,5461.15,3,2025.04.22,-
734,예비인증,한국생산성본부인증원,주거용 이외,교육연구시설,경북,경북 의성군 봉양면 봉호로 14,경북소프트웨어마이스터고등학교 동아리 실습동 증축 공사,경상북도교육청,790.67,4,2025.04.22,-
735,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,전남,전남 장흥군 장흥읍 못골길 1,장흥향원중 그린스마트스쿨 ,전라남도교육청,4042.91,4,2025.04.22,-
736,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,경남,경남 양산시 물금읍 금오로 20,양산부산대학교병원 스마트 진료지원교육물류센터 건립,양산부산대학교병원,23544.68,4,2025.04.21,-
737,예비인증,한국건설생활환경시험연구원,주거용 이외,문화 및 집회시설,충남,"충청남도 공주시 석장리동  123 , 외 12필지",구석기교육원건립사업설계용역,공주시청,875.67,4,2025.04.18,-
738,예비인증,한국건설생활환경시험연구원,주거용 이외,공장,충북,"충청북도 보은군 삼승면 우진리 678-5, ",보은군 공공임대형 지식산업센터 건립사업,보은군청,3349.74,5,2025.04.18,-
739,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,부산,"부산광역시 강서구 명지동  3636, 일원",(가칭)명지3중학교,부산광역시교육청,13881.42,4,2025.04.18,-
740,예비인증,한국부동산원,주거용 이외,동물 및 식물 관련 시설,강원,"강원특별자치도 춘천시 동산면 조양리 1471, 외 1필지",곤충스마트팩토리팜,강원특별자치도,2085.84,2,2025.04.17,-
741,예비인증,한국환경건축연구원,주거용 이외,관광 휴게시설,경남,"경상남도 창원시  진해구 장천동  산 1   -300 , 일원",진해만 자연휴양림 산림휴양관,창원시청(산림휴양과),895.29,4,2025.04.17,-
742,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,경북,"대구광역시 군위군 산성면 화본리 일반 868 -2   , 번지 외 2필지",산성면 행정복지센터 건립사업 실시설계,군위군청,1180.08,4,2025.04.17,-
743,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,강원,"강원특별자치도 춘천시 신북읍 율문리 310 -1   , 외 7필지",춘성중학교 강원형 학교시설 개축공사,강원특별자치도춘천교육지원청,2512.83,4,2025.04.16,-
744,예비인증,한국부동산원,주거용 이외,교육연구시설,충북,충북 음성군 금왕읍 무극로 393-1,충북반도체고 실습동,음성교육지원청,2141.18,4,2025.04.16,-
745,예비인증,한국녹색기후기술원,주거용 이외,위락시설,부산,"부산광역시 기장군 기장읍 시랑리 산  46 , 외 338필지",오시리아 스포츠파크 위락시설,오시리아테마파크피에프브이 주식회사,4995.76,5,2025.04.16,-
746,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,전북,"전북특별자치도 전주시  덕진구 만성동  1341-1   , ",전북시청자미디어센터,전북특별자치도,6093.90,4,2025.04.15,-
747,예비인증,한국녹색기후기술원,주거용 이외,수련시설,강원,"강원특별자치도 홍천군 홍천읍 희망리 일반 35  , ",청소년 문화공간 건립사업,홍천군청,1532.68,4,2025.04.15,-
748,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,경남,경남 통영시 도남로 257,통영소방서 도남119안전센터,경상남도청,959.03,5,2025.04.15,-
749,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,경남,"경상남도 합천군 삼가면 소오리 376 -1   , 외 1필지",합천소방서 삼가119안전센터,경상남도청,972.83,5,2025.04.15,-
750,예비인증,한국환경건축연구원,주거용 이외,제1종 근린생활시설,전남,"전라남도 강진군 군동면 라천리 268 , ",군동면 기초생활거점 조성사업(복합문화센터),강진군청 농어촌개발과,1704.17,3,2025.04.15,-
751,예비인증,한국부동산원,주거용 이외,국방·군사시설,충북,"충청북도 충주시 금가면 유송리 일반 170 -5   , 외 6필지",23-D-00부대(B646) 군수사 86창 2방탄대 천궁유도탄 정비고 신축,국방시설본부,1399.17,5,2025.04.15,-
752,예비인증,한국부동산원,주거용 이외,제1종 근린생활시설,인천,"인천광역시 미추홀구 도화동  80  -94  , 80-128",제물포 담소,인천도시공사,612.58,5,2025.04.15,-
753,예비인증,한국녹색기후기술원,주거용,공동주택,전북,"전북특별자치도 임실군 오수면 오수리 일반 351 -1   , ",임실 오수 민간참여 공공주택 건설사업,전북개발공사,10426.6684,5,2025.04.15,-
754,예비인증,한국환경건축연구원,주거용 이외,교육연구시설,강원,강원특별자치도 속초시 번영로 82,속초교육문화관,강원특별자치도교육청,3296.14,4,2025.04.14,-
755,예비인증,한국생산성본부인증원,주거용 이외,업무시설,전남,전남 목포시 상리로15번길 8,목포시 상동 행정복지센터,목포시,1514.47,4,2025.04.14,-
756,예비인증,한국건설생활환경시험연구원,주거용 이외,교육연구시설,충남,"충청남도 아산시 신창면 남성리, 851번지",서부권 공공도서관 조성사업,아산시청,3699.48,4,2025.04.14,2025.06.20
757,예비인증,한국교육녹색환경연구원,주거용 이외,업무시설,경기,"경기도 성남시  분당구 야탑동  산 157 -3   , 외 2필지(628, 630)","경찰청 6,8기동대",경기도남부경찰청,4990.31,4,2025.04.11,-
758,예비인증,한국녹색기후기술원,주거용 이외,제1종 근린생활시설,강원,"강원특별자치도 인제군 북면 원통리 일반 731 -10  , ",원통웰컴센터,인제군청,4556.6,4,2025.04.10,-
759,예비인증,한국환경건축연구원,주거용 이외,업무시설,충북,"충청북도 청주시  상당구 방서동  일반, 971, 972번지",국립공원공단 중부지역본부청사 신축공사,국립공원공단 중부지역본부,"2,962.13",4,2025.04.10,-
760,예비인증,한국녹색기후기술원,주거용 이외,교육연구시설,경기,경기 포천시 군내면 솔밭길 12-1,청성초 체육관 증축공사 설계용역,경기도포천교육지원청,802.22,5,2025.04.10,-
